---------- m8_r8_t32_h2 @ v10_e42_t97 : -p 0 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706836546.2507265, 0, 0, 4.00, 0.00, 8.79
1706836546.3942175, 0, 0, 434.62, 0.00, 0.00
1706836546.5901794, 2, 0, 434.62, 0.00, 0.00
1706836547.0768743, 0, 0, 434.62, 0.00, 0.00
1706836547.2618217, 0, 0, 434.62, 0.00, 0.00
1706836547.8090613, 0, 0, 434.62, 0.00, 0.00
1706836548.1133809, 0, 0, 434.62, 0.00, 0.98
1706836548.2762260, 0, 0, 434.62, 0.98, 0.00
1706836548.4189281, 0, 0, 434.62, 0.00, 0.00
1706836548.6222062, 0, 0, 448.62, 1347.66, 356.45
1706836548.8663120, 0, 0, 448.62, 0.00, 0.00
1706836549.2718742, 0, 0, 448.62, 0.00, 0.00
1706836549.8276947, 0, 0, 448.62, 0.00, 0.00
1706836550.0108507, 0, 0, 448.62, 0.00, 1.95
1706836550.2949245, 0, 0, 448.62, 0.98, 0.00
1706836550.6394012, 0, 0, 448.62, 0.00, 0.00
1706836550.8629241, 0, 0, 464.62, 1478.52, 299.80
1706836551.0841205, 5, 0, 464.62, 0.00, 0.00
1706836551.5700970, 0, 0, 464.62, 0.00, 0.00
1706836551.7540109, 0, 0, 464.62, 0.00, 0.00
1706836551.9394779, 0, 0, 464.62, 0.00, 0.00
1706836552.2033749, 0, 0, 464.62, 0.00, 0.00
1706836552.3862882, 0, 0, 464.62, 0.00, 0.00
1706836552.5690060, 0, 0, 464.62, 0.00, 0.00
1706836552.7520356, 0, 0, 464.62, 0.00, 0.00
1706836552.9755335, 0, 0, 464.62, 0.00, 0.00
1706836553.1586332, 0, 0, 478.62, 1421.88, 390.62
1706836553.3561559, 0, 0, 536.62, 0.00, 0.00
1706836554.0442462, 0, 0, 536.62, 0.00, 0.00
1706836554.2480321, 0, 0, 536.62, 0.98, 0.00
1706836554.4548078, 0, 0, 536.62, 74.22, 0.00
1706836555.0786486, 0, 0, 522.62, 0.00, 0.00
1706836555.4456441, 0, 0, 522.62, 0.00, 74.22
1706836555.9218292, 0, 0, 508.62, 0.00, 0.98
1706836556.2870996, 0, 0, 508.62, 0.98, 0.00
1706836556.4502037, 0, 0, 508.62, 0.00, 8.79
---------- m8_r8_t32_h2 @ v10_e42_t97 : -p 2 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706836556.6575177, 0, 0, 4.00, 0.00, 8.79
1706836556.8017740, 5, 0, 434.62, 0.00, 0.00
1706836557.0256174, 1, 0, 434.62, 0.00, 0.00
1706836557.2291732, 0, 0, 434.62, 0.00, 0.00
1706836557.4144263, 0, 0, 434.62, 0.00, 0.00
1706836557.6393466, 0, 0, 434.62, 0.00, 0.00
1706836558.0855434, 0, 0, 434.62, 0.00, 0.00
1706836558.2689285, 0, 0, 434.62, 0.00, 0.00
1706836558.4332185, 0, 0, 434.62, 0.00, 0.00
1706836558.6569681, 0, 0, 434.62, 0.00, 0.00
1706836558.8807051, 0, 0, 434.62, 0.00, 0.00
1706836559.3062088, 0, 0, 434.62, 588.87, 1148.44
1706836559.5686085, 5, 0, 448.62, 0.00, 0.00
1706836560.0769498, 0, 0, 448.62, 0.00, 1.95
1706836560.3018763, 0, 0, 448.62, 0.00, 1.95
1706836560.4442658, 0, 0, 448.62, 0.00, 0.00
1706836560.9906685, 0, 0, 448.62, 0.00, 0.00
1706836561.1737657, 0, 0, 448.62, 0.00, 0.00
1706836561.3972878, 0, 0, 448.62, 0.00, 0.00
1706836561.5803239, 0, 0, 464.62, 1454.10, 320.31
1706836561.8083911, 2, 0, 464.62, 0.00, 0.00
1706836562.2763984, 0, 0, 464.62, 0.00, 0.00
1706836562.4203422, 0, 0, 464.62, 0.00, 0.00
1706836562.9669483, 0, 0, 464.62, 0.00, 0.00
1706836563.4731174, 0, 0, 464.62, 0.00, 678.71
1706836564.0607841, 11, 0, 536.62, 1.95, 0.00
1706836564.3600590, 0, 0, 536.62, 0.00, 0.00
1706836564.9071968, 0, 0, 536.62, 0.00, 0.00
1706836565.0733452, 0, 0, 536.62, 23.44, 48.83
1706836565.4281359, 3, 0, 522.62, 0.00, 0.00
1706836565.9771717, 0, 0, 508.62, 0.00, 0.00
1706836566.2466030, 2, 0, 508.62, 0.00, 2.93
1706836566.4327049, 0, 0, 508.62, 0.00, 2.93
---------- m8_r8_t32_h2 @ v10_e42_t97 : -p 4 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706836566.6978428, 5, 0, 4.00, 6.84, 3.91
1706836566.8561242, 5, 0, 434.62, 0.00, 0.00
1706836567.1603770, 0, 0, 434.62, 0.00, 0.00
1706836567.7079051, 0, 0, 434.62, 0.00, 0.00
1706836567.9341319, 0, 0, 434.62, 0.00, 0.98
1706836568.2998123, 0, 0, 434.62, 0.00, 0.98
1706836568.4428031, 0, 0, 434.62, 0.00, 0.00
1706836568.8081355, 0, 0, 434.62, 0.00, 0.00
1706836569.1124289, 0, 0, 434.62, 0.00, 0.00
1706836569.4306583, 0, 0, 448.62, 0.00, 0.00
1706836569.9778297, 0, 0, 448.62, 0.00, 0.00
1706836570.1609535, 0, 0, 448.62, 0.00, 2.93
1706836570.3037703, 0, 0, 448.62, 0.00, 2.93
1706836570.4465356, 0, 0, 448.62, 0.00, 0.00
1706836570.6498797, 0, 0, 448.62, 0.00, 0.00
1706836571.1559610, 0, 0, 448.62, 0.00, 0.00
1706836571.4602489, 0, 0, 464.62, 1375.00, 397.46
1706836571.6930041, 5, 0, 464.62, 0.00, 0.00
1706836571.9164724, 0, 0, 464.62, 0.00, 0.00
1706836572.1400368, 0, 0, 464.62, 0.00, 2.93
1706836572.3029532, 0, 0, 464.62, 0.00, 1.95
1706836572.4454236, 0, 0, 464.62, 0.00, 0.00
1706836572.9942117, 0, 0, 464.62, 0.00, 0.00
1706836573.3792543, 0, 0, 464.62, 0.00, 0.00
1706836573.5825324, 0, 0, 464.62, 0.00, 0.00
1706836573.7858911, 0, 0, 478.62, 1441.41, 350.59
1706836573.9628873, 8, 0, 536.62, 0.00, 0.00
1706836574.2772963, 0, 0, 536.62, 0.00, 1.95
1706836574.4410887, 0, 0, 536.62, 0.00, 0.00
1706836574.8261917, 2, 0, 522.62, 0.00, 0.00
1706836575.4008968, 0, 0, 522.62, 0.00, 0.00
1706836575.7662623, 0, 0, 522.62, 0.00, 0.00
1706836576.0933304, 0, 0, 508.62, 0.98, 0.00
1706836576.4279335, 0, 0, 508.62, 0.00, 0.00
1706836576.7344375, 0, 0, 508.62, 0.00, 8.79
---------- m8_r8_t32_h2 @ v10_e42_t97 : -p 5 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706836577.2839441, 5, 0, 4.00, 0.00, 5.86
1706836577.4324391, 5, 0, 434.62, 0.00, 0.00
1706836577.5956626, 1, 0, 434.62, 0.00, 0.00
1706836578.1429982, 0, 0, 434.62, 0.00, 0.98
1706836578.2882795, 0, 0, 434.62, 0.00, 0.98
1706836578.4527268, 0, 0, 434.62, 0.00, 0.00
1706836579.0002220, 0, 0, 434.62, 0.00, 0.00
1706836579.1836257, 0, 0, 434.62, 0.00, 0.00
1706836579.6096735, 0, 0, 434.62, 0.00, 0.00
1706836580.1560681, 0, 0, 448.62, 817.38, 815.43
1706836580.3946216, 3, 0, 448.62, 0.00, 0.00
1706836580.5974021, 2, 0, 448.62, 0.00, 0.00
1706836580.9017050, 0, 0, 448.62, 0.00, 0.00
1706836581.3894765, 0, 0, 448.62, 0.00, 0.00
1706836581.7744906, 0, 0, 448.62, 0.00, 0.00
1706836582.1394019, 0, 0, 448.62, 0.00, 0.98
1706836582.3022711, 0, 0, 448.62, 0.00, 0.98
1706836582.4457419, 0, 0, 464.62, 1481.45, 278.32
1706836582.6629367, 5, 0, 464.62, 0.00, 0.00
1706836582.8542728, 5, 0, 464.62, 0.00, 0.00
1706836583.0373771, 0, 0, 464.62, 0.00, 0.00
1706836583.2607784, 0, 0, 464.62, 0.00, 0.00
1706836583.6143486, 0, 0, 464.62, 0.00, 0.00
1706836583.8378568, 0, 0, 464.62, 0.00, 0.00
1706836584.1825199, 0, 0, 464.62, 0.98, 0.00
1706836584.3253460, 0, 0, 464.62, 0.98, 0.00
1706836584.6694138, 0, 0, 464.62, 0.00, 1111.33
1706836584.9313984, 2, 0, 536.62, 0.00, 0.00
1706836585.6092739, 0, 0, 536.62, 0.00, 0.00
1706836585.8128819, 0, 0, 536.62, 0.00, 0.00
1706836585.9963062, 0, 0, 536.62, 64.45, 7.81
1706836586.4003286, 0, 0, 522.62, 0.00, 0.00
1706836586.9495645, 0, 0, 522.62, 0.00, 0.00
1706836587.1734688, 0, 0, 522.62, 74.22, 0.00
1706836587.7490857, 0, 0, 508.62, 0.00, 0.00
1706836587.9324377, 0, 0, 508.62, 0.00, 0.00
1706836588.2978194, 0, 0, 508.62, 0.98, 0.00
1706836588.4619896, 0, 0, 508.62, 2.93, 5.86
