---------- m8_r8_t32_h2 @ v10_e26_t25 : -p 0 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706811029.5565832, 0, 0, 4.00, 0.00, 6.84
1706811029.7184284, 0, 0, 434.62, 0.00, 0.00
1706811029.9423983, 2, 0, 434.62, 0.00, 0.00
1706811030.1260455, 0, 0, 434.62, 0.00, 0.00
1706811030.3318851, 0, 0, 434.62, 0.00, 0.00
1706811030.7176273, 0, 0, 434.62, 0.00, 0.00
1706811031.0830932, 0, 0, 434.62, 0.00, 0.00
1706811031.5496013, 0, 0, 434.62, 0.00, 0.00
1706811031.7330806, 0, 0, 434.62, 0.00, 0.00
1706811031.9364936, 0, 0, 434.62, 0.00, 0.00
1706811032.3465903, 0, 0, 448.62, 0.00, 1.95
1706811032.7134643, 0, 0, 448.62, 0.00, 0.00
1706811033.0986547, 0, 0, 448.62, 0.00, 0.00
1706811033.3827028, 0, 0, 448.62, 0.00, 0.00
1706811033.9293354, 0, 0, 448.62, 1007.81, 778.32
1706811034.1702845, 0, 0, 464.62, 0.00, 0.00
1706811034.5754552, 0, 0, 464.62, 0.00, 0.98
1706811034.7187600, 0, 0, 464.62, 0.00, 0.00
1706811034.9223425, 0, 0, 464.62, 0.00, 0.00
1706811035.1277592, 0, 0, 464.62, 0.00, 0.00
1706811035.3512375, 0, 0, 464.62, 0.00, 0.00
1706811035.5545344, 0, 0, 464.62, 552.73, 1233.40
1706811035.9333272, 7, 0, 536.62, 0.00, 0.00
1706811036.3515110, 0, 0, 536.62, 0.00, 0.00
1706811036.5349231, 0, 0, 536.62, 0.00, 0.00
1706811036.7184982, 0, 0, 536.62, 0.00, 0.00
1706811036.9426253, 3, 0, 522.62, 0.00, 0.00
1706811037.3004756, 0, 0, 522.62, 0.00, 0.00
1706811037.8483980, 0, 0, 522.62, 11.72, 61.52
1706811038.2346642, 0, 0, 508.62, 0.00, 0.00
1706811038.5796599, 0, 0, 508.62, 0.98, 0.00
1706811038.7443719, 0, 0, 508.62, 0.00, 0.00
1706811038.9499490, 0, 0, 4.00, 0.00, 0.00
---------- m8_r8_t32_h2 @ v10_e26_t25 : -p 2 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706811039.1380839, 5, 0, 4.00, 0.00, 6.84
1706811039.2997282, 1, 0, 434.62, 0.00, 0.00
1706811039.6043494, 1, 0, 434.62, 0.00, 0.00
1706811040.1532032, 0, 0, 434.62, 0.00, 0.00
1706811040.3363860, 0, 0, 434.62, 0.00, 0.00
1706811040.5599487, 0, 0, 434.62, 0.00, 0.00
1706811040.7027225, 0, 0, 434.62, 0.00, 0.00
1706811040.8858006, 0, 0, 434.62, 981.45, 756.84
1706811041.1640468, 0, 0, 448.62, 0.00, 0.00
1706811041.3495362, 5, 0, 448.62, 0.00, 0.00
1706811041.5529187, 0, 0, 448.62, 0.00, 0.00
1706811042.0992622, 0, 0, 448.62, 0.00, 0.00
1706811042.5854015, 0, 0, 448.62, 0.98, 0.00
1706811042.7290449, 0, 0, 462.62, 1298.83, 440.43
1706811042.9755547, 0, 0, 464.62, 0.00, 0.00
1706811043.3404896, 0, 0, 464.62, 0.00, 0.00
1706811043.5662446, 0, 0, 464.62, 0.00, 0.00
1706811043.7696023, 0, 0, 464.62, 0.00, 0.00
1706811044.3162470, 0, 0, 464.62, 0.00, 0.00
1706811044.4996266, 0, 0, 464.62, 475.59, 596.68
1706811044.7666409, 11, 0, 536.62, 0.00, 0.00
1706811045.3497119, 0, 0, 536.62, 74.22, 0.00
1706811045.6660721, 2, 0, 522.62, 0.00, 0.00
1706811045.8694072, 0, 0, 522.62, 74.22, 0.00
1706811046.2849519, 3, 0, 508.62, 0.00, 0.00
1706811046.4479077, 0, 0, 508.62, 0.98, 0.00
---------- m8_r8_t32_h2 @ v10_e26_t25 : -p 4 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706811046.7337801, 0, 0, 4.00, 6.84, 3.91
1706811046.8869944, 5, 0, 434.62, 0.00, 0.00
1706811047.1709869, 1, 0, 434.62, 0.00, 0.00
1706811047.3546495, 0, 0, 434.62, 0.00, 0.00
1706811047.9021814, 0, 0, 434.62, 0.00, 0.00
1706811048.1059241, 0, 0, 434.62, 0.00, 0.00
1706811048.3905244, 0, 0, 434.62, 0.00, 0.00
1706811048.5941770, 0, 0, 434.62, 0.00, 0.98
1706811048.7380121, 0, 0, 434.62, 0.00, 0.00
1706811048.9214222, 0, 0, 434.62, 0.00, 0.00
1706811049.1453733, 0, 0, 434.62, 0.00, 0.00
1706811049.3489666, 0, 0, 434.62, 0.00, 558.59
1706811049.6432416, 6, 0, 448.62, 0.00, 0.00
1706811049.8466477, 0, 0, 448.62, 0.00, 0.00
1706811050.0702221, 0, 0, 448.62, 0.00, 0.00
1706811050.2534318, 0, 0, 448.62, 0.00, 0.00
1706811050.5779269, 0, 0, 448.62, 0.00, 0.98
1706811050.7206953, 0, 0, 448.62, 0.00, 0.00
1706811050.9240291, 0, 0, 448.62, 0.00, 0.00
1706811051.1475947, 0, 0, 448.62, 1003.91, 778.32
1706811051.4363363, 6, 0, 464.62, 0.00, 0.00
1706811051.8626554, 0, 0, 464.62, 0.00, 0.00
1706811052.0458040, 0, 0, 464.62, 0.00, 0.00
