---------- m8_r8_t32_h2 @ v10_e18_t5 : -p 0 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706811000.3321476, 0, 0, 434.62, 0.00, 0.00
1706811000.5560064, 0, 0, 434.62, 0.00, 0.98
1706811000.6990778, 0, 0, 434.62, 0.00, 0.00
1706811000.9225438, 0, 0, 434.62, 0.00, 0.00
1706811001.1460207, 0, 0, 434.62, 528.32, 1211.91
1706811001.4713194, 6, 0, 448.62, 0.00, 0.00
1706811001.8161306, 0, 0, 448.62, 0.00, 0.00
1706811002.1629391, 0, 0, 448.62, 0.00, 0.00
1706811002.6691670, 0, 0, 448.62, 0.00, 0.00
1706811002.8522575, 0, 0, 448.62, 0.00, 0.00
1706811003.0353942, 0, 0, 464.62, 1291.99, 440.43
1706811003.2777238, 6, 0, 464.62, 0.00, 0.00
1706811003.4811132, 0, 0, 464.62, 0.00, 0.00
1706811003.6845281, 0, 0, 464.62, 0.00, 0.00
1706811004.2312081, 0, 0, 464.62, 0.00, 0.00
1706811004.5157893, 0, 0, 464.62, 0.98, 0.00
1706811004.6990428, 0, 0, 464.62, 0.00, 980.47
1706811005.0424650, 11, 0, 536.62, 0.00, 0.00
1706811005.4995694, 0, 0, 536.62, 0.00, 0.00
1706811005.6831443, 0, 0, 536.62, 0.00, 0.00
1706811005.9070673, 0, 0, 536.62, 16.60, 55.66
1706811006.3006940, 0, 0, 522.62, 0.00, 0.00
1706811006.4842050, 0, 0, 522.62, 0.98, 0.00
1706811006.7086122, 0, 0, 522.62, 0.00, 74.22
1706811007.3200171, 0, 0, 508.62, 0.00, 0.00
1706811007.7260423, 0, 0, 508.62, 0.00, 3.91
